image_name,predict_score,mos
./Datasets/CSIQ/dst_imgs/AWGN/1600.AWGN.1.png,0.45563164353370667,0.061989
./Datasets/CSIQ/dst_imgs/AWGN/1600.AWGN.2.png,0.4053758680820465,0.20624
./Datasets/CSIQ/dst_imgs/AWGN/1600.AWGN.3.png,0.3964722752571106,0.26212
./Datasets/CSIQ/dst_imgs/AWGN/1600.AWGN.4.png,0.3951764404773712,0.37463
./Datasets/CSIQ/dst_imgs/AWGN/1600.AWGN.5.png,0.35505521297454834,0.46748
./Datasets/CSIQ/dst_imgs/AWGN/aerial_city.AWGN.1.png,0.5722676515579224,0.031592
./Datasets/CSIQ/dst_imgs/AWGN/aerial_city.AWGN.2.png,0.49189522862434387,0.12514
./Datasets/CSIQ/dst_imgs/AWGN/aerial_city.AWGN.3.png,0.4157305657863617,0.24496
./Datasets/CSIQ/dst_imgs/AWGN/aerial_city.AWGN.4.png,0.33116135001182556,0.37295
./Datasets/CSIQ/dst_imgs/AWGN/aerial_city.AWGN.5.png,0.2909046411514282,0.50126
./Datasets/CSIQ/dst_imgs/AWGN/boston.AWGN.1.png,0.5167543292045593,0.029159
./Datasets/CSIQ/dst_imgs/AWGN/boston.AWGN.2.png,0.48889824748039246,0.081368
./Datasets/CSIQ/dst_imgs/AWGN/boston.AWGN.3.png,0.4536597430706024,0.2155
./Datasets/CSIQ/dst_imgs/AWGN/boston.AWGN.4.png,0.42753326892852783,0.38312
./Datasets/CSIQ/dst_imgs/AWGN/boston.AWGN.5.png,0.3743017911911011,0.47159
./Datasets/CSIQ/dst_imgs/AWGN/bridge.AWGN.1.png,0.4367308020591736,0.027782
./Datasets/CSIQ/dst_imgs/AWGN/bridge.AWGN.2.png,0.4001510441303253,0.087857
./Datasets/CSIQ/dst_imgs/AWGN/bridge.AWGN.3.png,0.30224406719207764,0.25179
./Datasets/CSIQ/dst_imgs/AWGN/bridge.AWGN.4.png,0.2598705291748047,0.4087
./Datasets/CSIQ/dst_imgs/AWGN/bridge.AWGN.5.png,0.25022608041763306,0.51701
./Datasets/CSIQ/dst_imgs/AWGN/butter_flower.AWGN.1.png,0.38984838128089905,0.026574
./Datasets/CSIQ/dst_imgs/AWGN/butter_flower.AWGN.2.png,0.32808083295822144,0.089165
./Datasets/CSIQ/dst_imgs/AWGN/butter_flower.AWGN.3.png,0.2516912817955017,0.2523
./Datasets/CSIQ/dst_imgs/AWGN/butter_flower.AWGN.4.png,0.17400722205638885,0.43489
./Datasets/CSIQ/dst_imgs/AWGN/butter_flower.AWGN.5.png,0.12193847447633743,0.54527
./Datasets/CSIQ/dst_imgs/AWGN/cactus.AWGN.1.png,0.5025738477706909,0.10433
./Datasets/CSIQ/dst_imgs/AWGN/cactus.AWGN.2.png,0.47303465008735657,0.20571
./Datasets/CSIQ/dst_imgs/AWGN/cactus.AWGN.3.png,0.4469982087612152,0.34944
./Datasets/CSIQ/dst_imgs/AWGN/cactus.AWGN.4.png,0.4272429645061493,0.43917
./Datasets/CSIQ/dst_imgs/AWGN/cactus.AWGN.5.png,0.387420117855072,0.49839
